state,generated,premium_regime,evidence_basis,evidence_providers,purchase_band_x_our_stack,refi_band_x_our_stack,purchase_our_stack,purchase_our_stack_composition,purchase_our_settlement_line,purchase_FA_settlement,purchase_market_stack_low,purchase_market_low_source,purchase_market_stack_high,purchase_claimed_savings,purchase_verdict,refi_our_stack,refi_our_settlement_line,refi_FA_settlement,refi_market_stack_low,refi_market_low_source,refi_market_stack_high,refi_claimed_savings,refi_verdict,comparison_assumptions,notes
AK,2026-07-25,filed,published [symmetric-boundary audited],2,0.42-0.77,0.42-0.77,1555,Settlement Fee 1150 + Abstract Storage Fee 75 + Notary Fee 150 + Abstractor Title Search 180 = 1555,1150,650,653,REAL: First American (API) $650 buyer-side,1197,0,above ALL known providers,575,350,400,242,purchase band applied to refi stack — see purchase source,443,0,above ALL known providers,"Search INCLUDED both sides. Market low = FA API $650 buyer-side escrow (search bundled in their premium; notary not listed → assumed included). Alyeska $1,200 is whole-transaction with UNKNOWN buyer/seller split — used unhalved (conservative-high display).",FA fee scales with deal size
AL,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,1595,Settlement Fee 1150 + Notary Fee 150 + Abstractor Title Search 295 = 1595,1150,,1675,none — no in-state provider observed (pooled band),2233,80,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
AR,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,995,Settlement Fee 550 + Notary Fee 150 + Abstractor Title Search 295 = 995,550,,1045,none — no in-state provider observed (pooled band),1393,50,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
AZ,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,950,Settlement Fee 550 + Notary Fee 150 + Abstractor Title Search 250 = 950,550,,998,none — no in-state provider observed (pooled band),1330,48,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
CA,2026-07-25,filed,published [symmetric-boundary audited],3,2.19-2.5,1.37-2.19 (override),700,Settlement Fee 550 + Notary Fee 150 = 700,550,1750,1533,"REAL (split-adjusted): Pacific Coast Title $1,530 = half of filed $2,500 sale escrow + $280 loan fee (side split unpublished)",1750,833,CHEAPEST — below all known providers,500,350,685,685,REAL: First American (API) refi $685,1095,185,CHEAPEST — below all known providers (single known provider),"Search EXCLUDED both sides. Market low = FA API $1,750 explicit buyer-side escrow (doc prep/edoc bundled per their Basic Escrow Services; notary assumed included). WFG/PCT filed sale-escrow fees lack a published side-split — halved before pooling (conservative).",FA fee scales with deal size
CO,2026-07-25,filed,inferred-capped,1,0.94-1.4,0.94-1.4,725,Settlement Fee 550 + Closing Protection Letter 25 + Notary Fee 150 = 725,550,685,682,REAL (cap point): First American (API) $685,1015,0,MID-RANGE of known providers (single known provider),425,250,425,400,purchase band applied to refi stack — see purchase source,595,0,MID-RANGE of known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $685; notary not listed → assumed included). Treat as estimate until 2+ providers.",
CT,2026-07-25,filed,published [symmetric-boundary audited],3,0.68-1.14,0.68-1.14,1100,Settlement Fee 550 + Closing Protection Letter 50 + Notary Fee 150 + Abstractor Title Search 350 = 1100,550,,748,"REAL: Law Office of Yona Gregory $750 flat attorney fee (their search billed separately, unpriced)",1254,0,MID-RANGE of known providers,550,350,,374,purchase band applied to refi stack — see purchase source,627,0,MID-RANGE of known providers,"Search INCLUDED both sides (attorney-close state). Market low = Yona Gregory $750 attorney fee — their search/recording/courier billed separately but UNPRICED, so their true all-in is higher than counted (conservative in their favor).",
DC,2026-07-25,filed,published [symmetric-boundary audited],2,0.61-1.06,0.61-1.06,1200,Settlement Fee 750 + Closing Protection Letter 50 + Notary Fee 150 + Abstractor Title Search 250 = 1200,750,,732,REAL (range-lows): Avenue Title $730 = published range minimums (settlement 550 + search 150 + CPL 30),1272,0,MID-RANGE of known providers,550,350,,336,purchase band applied to refi stack — see purchase source,583,0,MID-RANGE of known providers,Search INCLUDED both sides. Market low = Avenue Title $730 built from the LOW end of each published range (settlement 550 + search 150 + CPL 30); notary not listed → assumed included.,
DE,2026-07-25,rating-bureau,inferred,0,1.05-1.4,1.05-1.4,850,Settlement Fee 550 + Notary Fee 150 + Abstractor Title Search 150 = 850,550,,892,none — no in-state provider observed (pooled band),1190,42,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
FL,2026-07-25,promulgated,published [symmetric-boundary audited],6,0.88-1.12,0.88-1.12,700,Settlement Fee 550 + Notary Fee 150 = 700,550,595,616,SYNTHETIC P25 of 6; nearest real: First American $595 bundled closing-services fee,784,0,MID-RANGE of known providers,500,350,,440,purchase band applied to refi stack — see purchase source,560,0,MID-RANGE of known providers,"Search EXCLUDED both sides (FL bundling custom; premiums promulgated → excluded everywhere). Market low $ = interpolated 25th pct of 6 providers; nearest datapoint FA $595 flat (bundles doc prep/wires). Notary unknowns on 4/6 providers → assumed included. FTIC/Express figures from dated sample CDs — flagged. SELLER-CHOICE CAVEAT: outside Miami-Dade/Broward the SELLER customarily selects the title agent and pays the owner's premium — the buyer-side comparison above is decision-relevant mainly in Miami-Dade/Broward. Published SELLER closing fees at FL competitors: Title Co of FL $250–350, Palm Beach $450, Leading Edge $495, Full Service $595; our engine allocates $0 service fees to the Orlando seller (settlement/notary on buyer) — whether that matches intended FNTE seller-side pricing needs FNTE confirmation before any seller-facing claim.",
GA,2026-07-25,filed,published [symmetric-boundary audited],2,1.0-1.2,1.0-1.2 (override),1100,Settlement Fee 550 + Closing Protection Letter 50 + Notary Fee 150 + Abstractor Title Search 350 = 1100,550,,1100,"REAL: Wilson Pruitt $1,100 = closing 775 + exam 250 + CPL 75",1320,0,AT PARITY with cheapest known provider,550,350,,550,REAL: Campbell & Brannon refi $475 + exam 75,660,0,AT PARITY with cheapest known provider (single known provider),"Search INCLUDED both sides (GA attorneys bill exam as own charge). Market low = Wilson Pruitt $1,100 = closing 775 + exam 250 + CPL 75 (published sheet); their notary not listed → assumed included in their fee. Their $100 title binder excluded as title-related.",
HI,2026-07-25,filed,published [symmetric-boundary audited],3,1.89-2.39,1.89-2.39,595,Settlement Fee 595 = 595,595,1425,1125,"REAL: Title Guaranty of Hawaii $1,125 = published buyer half of $2,250 escrow fee",1422,530,CHEAPEST — below all known providers,350,350,,662,purchase band applied to refi stack — see purchase source,836,312,CHEAPEST — below all known providers,"Search EXCLUDED both sides. Market low = Title Guaranty $1,125 = buyer HALF of their published $2,250 escrow fee ($500k tier; 50/50 split is explicit in their schedule). Notary not listed → assumed included. HI GET tax excluded both sides.",FA fee scales with deal size
IA,2026-07-25,filed,published [symmetric-boundary audited],1,0.74-0.74,0.74-0.74,1150,Settlement Fee 250 + Abstract Storage Fee 175 + Notary Fee 150 + Attorney Fee 225 + Abstractor Title Search 350 = 1150,250,,851,REAL: Hastings & Gartin $850 = closing 600 + title opinion 250 (single provider),851,0,above ALL known providers (single known provider),900,350,,666,purchase band applied to refi stack — see purchase source,666,0,above ALL known providers (single known provider),Search/opinion INCLUDED both sides (abstract state). SINGLE provider: Hastings & Gartin $850 = closing 600 + title opinion 250; their abstract continuation is billed by a third-party abstractor and NOT counted — their true all-in is higher (conservative in their favor).,single-provider point band
